PUID	MIME
x-fmt/442	application/octet-stream
x-fmt/443	application/octet-stream
x-fmt/444	application/octet-stream
x-fmt/445	application/octet-stream
x-fmt/446	application/octet-stream
x-fmt/447	application/octet-stream
x-fmt/448	application/octet-stream
x-fmt/449	text/plain
x-fmt/450	application/octet-stream
x-fmt/451	application/octet-stream
x-fmt/452	application/octet-stream
x-fmt/453	application/octet-stream
x-fmt/454	text/plain
x-fmt/455	image/vnd.dwg
fmt/189	trigger/ooxml
fmt/190	application/vnd.framemaker
fmt/198	audio/mpeg
fmt/199	video/mp4
fmt/200	application/mxf
fmt/203	audio/ogg
fmt/214	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
fmt/215	application/vnd.openxmlformats-officedocument.presentationml.presentation
fmt/255	image/vnd.djvu, image/x-djvu
fmt/276	application/pdf
fmt/278	message/rfc822
fmt/282	application/netcdf, application/x-netcdf
fmt/283	application/netcdf, application/x-netcdf
fmt/290	application/vnd.oasis.opendocument.text
fmt/291	application/vnd.oasis.opendocument.text
fmt/292	application/vnd.oasis.opendocument.presentation
fmt/293	application/vnd.oasis.opendocument.presentation
fmt/294	application/vnd.oasis.opendocument.spreadsheet
fmt/295	application/vnd.oasis.opendocument.spreadsheet
fmt/296	application/vnd.oasis.opendocument.graphics
fmt/297	application/vnd.oasis.opendocument.graphics
fmt/303	image/cgm; version=1
fmt/304	image/cgm; version=2
fmt/305	image/cgm; version=3
fmt/306	image/cgm; version=4
fmt/307	application/qif
fmt/309	application/x-ofx
fmt/310	application/x-ofx
fmt/311	application/x-ofx
fmt/312	application/x-ofx
fmt/313	application/x-ofx
fmt/314	audio/prs.sid
fmt/315	audio/prs.sid
fmt/316	audio/prs.sid
fmt/317	application/x-director
fmt/318	image/vnd.djvu, image/x-djvu
fmt/323	audio/xm
fmt/324	application/x-endnote-style
fmt/326	application/x-endnote-connect
fmt/328	application/x-endnote-refer
fmt/329	application/x-shar
fmt/337	video/mj2
fmt/340	application/vnd.lotus-wordpro
fmt/341	image/x-pict
fmt/342	application/x-project
fmt/343	application/x-project
fmt/344	image/x-emf
fmt/345	image/x-emf
fmt/346	application/msword
fmt/347	audio/mpeg
fmt/353	image/tiff
fmt/354	application/pdf
fmt/355	application/rtf, text/rtf
fmt/356	audio/amr
fmt/357	audio/3gpp, video/3gpp
fmt/378	chemical/x-cdx
fmt/385	image/x-win-bitmap
fmt/387	text/x-vCalendar
fmt/388	text/calendar
fmt/411	application/x-rar-compressed
fmt/412	application/vnd.openxmlformats-officedocument.wordprocessingml.document
fmt/433	image/vnd.dxf
fmt/434	image/vnd.dwg
fmt/435	image/vnd.dxf
fmt/436	image/tiff
fmt/438	image/tiff
fmt/440	application/vnd.ms-project
fmt/442	application/vnd.visio
fmt/443	application/vnd.visio
fmt/445	application/vnd.ms-excel.sheet.macroEnabled.12
fmt/463	image/jpm
fmt/471	text/html
fmt/476	application/pdf
fmt/477	application/pdf
fmt/478	application/pdf
fmt/479	application/pdf
fmt/480	application/pdf
fmt/481	application/pdf
fmt/482	application/x-ibooks+zip
fmt/483	application/epub+zip
fmt/487	application/vnd.ms-powerpoint.presentation.macroEnabled.12
fmt/488	application/pdf
fmt/489	application/pdf
fmt/490	application/pdf
fmt/491	application/pdf
fmt/492	application/pdf
fmt/505	application/x-shockwave-flash
fmt/506	application/x-shockwave-flash
fmt/507	application/x-shockwave-flash
fmt/523	application/vnd.ms-word.document.macroEnabled.12
fmt/524	application/vnd.ms-officetheme
fmt/527	audio/x-wav
fmt/528	video/x-mng
fmt/529	image/x-jng
fmt/531	image/vnd.dwg
fmt/532	image/vnd.dxf
fmt/533	application/vnd.framemaker
fmt/534	application/vnd.framemaker
fmt/535	application/vnd.framemaker
fmt/536	application/vnd.framemaker
fmt/537	application/vnd.framemaker
fmt/538	application/vnd.framemaker
fmt/539	application/vnd.framemaker
fmt/553	application/vnd.ms-excel
fmt/554	application/vnd.ms-excel
fmt/555	application/vnd.ms-excel
fmt/556	application/vnd.ms-excel
fmt/573	video/webm
fmt/589	application/vnd.ms-wpl
fmt/594	image/vnd.mix
fmt/595	application/vnd.ms-excel.sheet.binary.macroEnabled.12
fmt/597	application/vnd.openxmlformats-officedocument.wordprocessingml.template
fmt/598	application/vnd.openxmlformats-officedocument.spreadsheetml.template
fmt/599	application/vnd.ms-word.template.macroEnabled.12
fmt/609	application/msword
fmt/613	application/x-rar-compressed
fmt/616	application/font-woff
fmt/627	application/vnd.ms-excel.template.macroEnabled.12
fmt/628	application/vnd.ms-excel.addin.macroEnabled.12
fmt/629	application/vnd.openxmlformats-officedocument.presentationml.slideshow
fmt/630	application/vnd.ms-powerpoint.slideshow.macroEnabled.12
fmt/631	application/vnd.openxmlformats-officedocument.presentationml.template
fmt/632	application/vnd.ms-powerpoint.template.macroEnabled.12
fmt/633	application/vnd.ms-powerpoint.addin.macroEnabled.12
fmt/634	application/vnd.ms-htmlhelp
fmt/636	application/vnd.ms-powerpoint.slide.macroEnabled.12
fmt/637	application/msonenote
fmt/645	image/jpeg
fmt/657	application/oxps
fmt/703	audio/x-wav
fmt/704	audio/x-wav
fmt/705	audio/x-wav
fmt/706	audio/x-wav
fmt/707	audio/x-wav
fmt/708	audio/x-wav
fmt/709	audio/x-wav
fmt/710	audio/x-wav
fmt/711	audio/x-wav
fmt/720	application/mbox
fmt/724	application/vnd.google-earth.kml+xml
fmt/725	application/vnd.ms-project
fmt/729	application/x-sqlite3
fmt/730	image/tiff
